fecha,usuario,comentario,plataforma,sentimiento,categoria,emocion
2025-01-01,user_001,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Político,Indignación
2025-01-02,user_002,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Servicio,Orgullo
2025-01-03,user_003,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Cultura,Orgullo
2025-01-04,user_004,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Servicio,Indignación
2025-01-05,user_005,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Académico,Tristeza
2025-01-06,user_006,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Servicio,Tristeza
2025-01-07,user_007,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Político,Frustración
2025-01-08,user_008,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Bienestar,Frustración
2025-01-09,user_009,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Bienestar,Indignación
2025-01-10,user_010,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Servicio,Orgullo
2025-01-11,user_011,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Servicio,Orgullo
2025-01-12,user_012,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Académico,Indignación
2025-01-13,user_013,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Bienestar,Indignación
2025-01-14,user_014,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Infraestructura,Esperanza
2025-01-15,user_015,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Bienestar,Tristeza
2025-01-16,user_016,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Bienestar,Indignación
2025-01-17,user_017,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Cultura,Alegría
2025-01-18,user_018,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Bienestar,Frustración
2025-01-19,user_019,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Cultura,Indignación
2025-01-20,user_020,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Político,Orgullo
2025-01-21,user_021,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Cultura,Tristeza
2025-01-22,user_022,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Bienestar,Frustración
2025-01-23,user_023,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Político,Indignación
2025-01-24,user_024,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Infraestructura,Indignación
2025-01-25,user_025,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Académico,Orgullo
2025-01-26,user_026,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Bienestar,Orgullo
2025-01-27,user_027,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Bienestar,Indignación
2025-01-28,user_028,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Bienestar,Alegría
2025-01-29,user_029,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Servicio,Alegría
2025-01-30,user_030,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Bienestar,Esperanza
2025-01-31,user_031,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Académico,Frustración
2025-02-01,user_032,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Político,Tristeza
2025-02-02,user_033,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Servicio,Frustración
2025-02-03,user_034,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Servicio,Indignación
2025-02-04,user_035,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Político,Tristeza
2025-02-05,user_036,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Servicio,Orgullo
2025-02-06,user_037,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Bienestar,Tristeza
2025-02-07,user_038,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Político,Alegría
2025-02-08,user_039,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Servicio,Tristeza
2025-02-09,user_040,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Bienestar,Orgullo
2025-02-10,user_041,"Muy buena la charla sobre inteligencia artificial, sigan así 💡",Instagram,Positivo,Infraestructura,Alegría
2025-02-11,user_042,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Bienestar,Alegría
2025-02-12,user_043,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Académico,Tristeza
2025-02-13,user_044,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Cultura,Alegría
2025-02-14,user_045,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Académico,Alegría
2025-02-15,user_046,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Infraestructura,Frustración
2025-02-16,user_047,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Político,Tristeza
2025-02-17,user_048,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Servicio,Orgullo
2025-02-18,user_049,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Académico,Indignación
2025-02-19,user_050,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Académico,Orgullo
2025-02-20,user_051,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Académico,Alegría
2025-02-21,user_052,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Político,Tristeza
2025-02-22,user_053,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Político,Tristeza
2025-02-23,user_054,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Infraestructura,Tristeza
2025-02-24,user_055,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Académico,Frustración
2025-02-25,user_056,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Infraestructura,Tristeza
2025-02-26,user_057,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Académico,Tristeza
2025-02-27,user_058,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Servicio,Orgullo
2025-02-28,user_059,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Político,Tristeza
2025-03-01,user_060,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Servicio,Frustración
2025-03-02,user_061,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Cultura,Esperanza
2025-03-03,user_062,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Académico,Frustración
2025-03-04,user_063,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Académico,Indignación
2025-03-05,user_064,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Político,Frustración
2025-03-06,user_065,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Cultura,Frustración
2025-03-07,user_066,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Servicio,Tristeza
2025-03-08,user_067,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Académico,Esperanza
2025-03-09,user_068,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Bienestar,Frustración
2025-03-10,user_069,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Cultura,Orgullo
2025-03-11,user_070,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Académico,Indignación
2025-03-12,user_071,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Político,Tristeza
2025-03-13,user_072,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Cultura,Esperanza
2025-03-14,user_073,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Académico,Orgullo
2025-03-15,user_074,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Servicio,Alegría
2025-03-16,user_075,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Académico,Tristeza
2025-03-17,user_076,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Servicio,Alegría
2025-03-18,user_077,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Infraestructura,Frustración
2025-03-19,user_078,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Servicio,Esperanza
2025-03-20,user_079,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Académico,Tristeza
2025-03-21,user_080,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Académico,Indignación
2025-03-22,user_081,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Infraestructura,Alegría
2025-03-23,user_082,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Bienestar,Orgullo
2025-03-24,user_083,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Servicio,Tristeza
2025-03-25,user_084,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Servicio,Tristeza
